timestamp,transaction_id,user_id,merchant_id,device_id,amount,location,channel,is_fraud
01-01-2024 00:00,TXN0000,7,121,7,4692,Delhi,Intent,0
01-01-2024 01:00,TXN0001,15,126,4,3170,Mumbai,Collect,0
01-01-2024 02:00,TXN0002,11,134,7,66,Bangalore,UPI-App,1
01-01-2024 03:00,TXN0003,8,100,8,1293,Delhi,UPI-App,0
01-01-2024 04:00,TXN0004,7,134,1,2255,Chennai,Collect,0
01-01-2024 05:00,TXN0005,19,136,6,2574,Delhi,Intent,1
01-01-2024 06:00,TXN0006,11,146,8,1119,Delhi,QR,1
01-01-2024 07:00,TXN0007,11,113,5,3494,Chennai,QR,1
01-01-2024 08:00,TXN0008,4,102,4,2615,Mumbai,UPI-App,0
01-01-2024 09:00,TXN0009,8,100,2,1110,Chennai,Intent,0
01-01-2024 10:00,TXN0010,3,104,6,2377,Mumbai,QR,0
01-01-2024 11:00,TXN0011,2,125,6,3470,Mumbai,Intent,0
01-01-2024 12:00,TXN0012,12,113,1,351,Mumbai,Intent,1
01-01-2024 13:00,TXN0013,6,138,9,4326,Chennai,UPI-App,0
01-01-2024 14:00,TXN0014,2,126,6,656,Mumbai,QR,0
01-01-2024 15:00,TXN0015,1,108,3,3220,Bangalore,Collect,0
01-01-2024 16:00,TXN0016,12,114,4,749,Chennai,UPI-App,0
01-01-2024 17:00,TXN0017,12,114,4,1189,Bangalore,QR,0
01-01-2024 18:00,TXN0018,17,125,3,240,Mumbai,QR,0
01-01-2024 19:00,TXN0019,10,141,3,2350,Delhi,QR,0
01-01-2024 20:00,TXN0020,16,112,3,1030,Mumbai,QR,0
01-01-2024 21:00,TXN0021,15,131,4,3025,Bangalore,QR,0
01-01-2024 22:00,TXN0022,15,138,7,1234,Bangalore,Intent,0
01-01-2024 23:00,TXN0023,19,148,4,3377,Chennai,UPI-App,0
02-01-2024 00:00,TXN0024,12,131,9,3444,Delhi,Intent,0
02-01-2024 01:00,TXN0025,3,103,1,177,Chennai,Collect,0
02-01-2024 02:00,TXN0026,5,129,8,2115,Bangalore,QR,0
02-01-2024 03:00,TXN0027,19,136,7,1866,Mumbai,UPI-App,0
02-01-2024 04:00,TXN0028,7,122,2,619,Delhi,QR,1
02-01-2024 05:00,TXN0029,9,138,8,1945,Mumbai,UPI-App,0
02-01-2024 06:00,TXN0030,7,144,1,2783,Mumbai,Intent,0
02-01-2024 07:00,TXN0031,18,114,9,3913,Delhi,UPI-App,0
02-01-2024 08:00,TXN0032,4,142,9,4771,Chennai,Collect,0
02-01-2024 09:00,TXN0033,14,128,2,4064,Mumbai,Collect,0
02-01-2024 10:00,TXN0034,18,135,7,2951,Bangalore,UPI-App,0
02-01-2024 11:00,TXN0035,9,112,3,1736,Mumbai,UPI-App,0
02-01-2024 12:00,TXN0036,2,131,7,3059,Delhi,UPI-App,0
02-01-2024 13:00,TXN0037,15,106,9,204,Delhi,UPI-App,0
02-01-2024 14:00,TXN0038,7,121,4,2587,Delhi,Collect,0
02-01-2024 15:00,TXN0039,12,127,1,1459,Chennai,QR,0
02-01-2024 16:00,TXN0040,8,101,2,4107,Mumbai,UPI-App,0
02-01-2024 17:00,TXN0041,15,141,1,834,Chennai,UPI-App,0
02-01-2024 18:00,TXN0042,3,144,5,3225,Chennai,Collect,0
02-01-2024 19:00,TXN0043,14,105,5,4391,Delhi,Collect,0
02-01-2024 20:00,TXN0044,17,127,7,2856,Delhi,Intent,0
02-01-2024 21:00,TXN0045,4,127,9,587,Chennai,UPI-App,0
02-01-2024 22:00,TXN0046,18,143,9,1891,Mumbai,Intent,0
02-01-2024 23:00,TXN0047,8,143,3,2505,Bangalore,Collect,0
03-01-2024 00:00,TXN0048,4,119,3,574,Chennai,Collect,0
03-01-2024 01:00,TXN0049,2,129,3,3000,Mumbai,QR,0
03-01-2024 02:00,TXN0050,6,110,4,4181,Delhi,UPI-App,0
03-01-2024 03:00,TXN0051,10,127,8,4830,Delhi,Intent,0
03-01-2024 04:00,TXN0052,4,124,6,4165,Mumbai,Collect,0
03-01-2024 05:00,TXN0053,18,138,8,2418,Bangalore,Collect,1
03-01-2024 06:00,TXN0054,12,132,1,3897,Delhi,Intent,0
03-01-2024 07:00,TXN0055,2,100,8,4545,Delhi,QR,0
03-01-2024 08:00,TXN0056,10,126,4,2751,Delhi,Collect,0
03-01-2024 09:00,TXN0057,4,112,1,1021,Mumbai,UPI-App,1
03-01-2024 10:00,TXN0058,14,140,8,1216,Chennai,Collect,1
03-01-2024 11:00,TXN0059,16,102,4,4979,Delhi,UPI-App,0
03-01-2024 12:00,TXN0060,15,138,6,2824,Chennai,Intent,0
03-01-2024 13:00,TXN0061,8,105,8,2032,Bangalore,UPI-App,0
03-01-2024 14:00,TXN0062,14,107,4,903,Delhi,Intent,0
03-01-2024 15:00,TXN0063,8,126,3,4196,Delhi,UPI-App,0
03-01-2024 16:00,TXN0064,16,108,9,3786,Bangalore,Intent,0
03-01-2024 17:00,TXN0065,13,136,3,3819,Delhi,UPI-App,1
03-01-2024 18:00,TXN0066,18,132,9,624,Chennai,QR,0
03-01-2024 19:00,TXN0067,15,141,2,3311,Mumbai,UPI-App,0
03-01-2024 20:00,TXN0068,13,143,2,1198,Chennai,UPI-App,0
03-01-2024 21:00,TXN0069,9,123,2,1765,Mumbai,QR,1
03-01-2024 22:00,TXN0070,15,114,6,4827,Mumbai,Collect,1
03-01-2024 23:00,TXN0071,13,131,3,4983,Chennai,Collect,0
04-01-2024 00:00,TXN0072,1,131,9,3904,Chennai,UPI-App,0
04-01-2024 01:00,TXN0073,7,123,4,2541,Chennai,QR,0
04-01-2024 02:00,TXN0074,9,140,1,2710,Chennai,UPI-App,0
04-01-2024 03:00,TXN0075,1,148,4,3174,Bangalore,Intent,0
04-01-2024 04:00,TXN0076,12,148,1,3101,Delhi,Intent,0
04-01-2024 05:00,TXN0077,8,111,5,54,Mumbai,UPI-App,0
04-01-2024 06:00,TXN0078,11,138,4,4919,Chennai,Collect,0
04-01-2024 07:00,TXN0079,19,101,8,926,Chennai,Collect,0
04-01-2024 08:00,TXN0080,17,102,8,1041,Chennai,UPI-App,0
04-01-2024 09:00,TXN0081,8,148,7,4192,Bangalore,UPI-App,0
04-01-2024 10:00,TXN0082,3,136,3,4414,Chennai,Intent,0
04-01-2024 11:00,TXN0083,3,148,1,4515,Chennai,Collect,0
04-01-2024 12:00,TXN0084,1,116,1,685,Chennai,UPI-App,0
04-01-2024 13:00,TXN0085,5,148,3,1743,Delhi,Intent,0
04-01-2024 14:00,TXN0086,10,101,6,1732,Bangalore,Collect,0
04-01-2024 15:00,TXN0087,7,101,7,4802,Chennai,QR,0
04-01-2024 16:00,TXN0088,9,127,6,169,Mumbai,Intent,0
04-01-2024 17:00,TXN0089,7,122,6,880,Mumbai,Collect,0
04-01-2024 18:00,TXN0090,9,136,6,3725,Mumbai,Collect,1
04-01-2024 19:00,TXN0091,8,131,3,1419,Bangalore,Intent,0
